study	pathogen	library	design	replicate	plate	well	gene	sirna	well_type	image_idx	object_idx	cells.children_bacteria_count	cells.children_invasomes_count	cells.intensity_maxintensityedge_corr1actin	cells.parent_nuclei	nuclei.intensity_uppertenpercentintensity_corr1pathogen	perinuclei.intensity_upperquartileintensity_corr1actin
study	bacteria	d	p	1	kb03-1a	a01	atp6v1a	l-017590-01	control	5	14	0.0	0.0	0.3436691918816519	0.0	-0.2194348088923272	1.4530593058012384
study	bacteria	d	p	1	kb03-1a	a01	atp6v1a	l-017590-01	control	2	142	0.0	0.0	0.11464422045367541	0.0	1.0483314772848809	0.5789259820293182
study	bacteria	d	p	1	kb03-1a	a01	atp6v1a	l-017590-01	control	2	195	0.0	0.0	0.19725404516337589	0.0	-0.28088189501462296	0.6910233324892974
study	bacteria	d	p	1	kb03-1a	a01	atp6v1a	l-017590-01	control	2	96	0.0	0.0	6.7097322468676275	0.0	-0.3248846106957693	5.510900719276623
study	bacteria	d	p	1	kb03-1a	a01	atp6v1a	l-017590-01	control	3	38	0.0	0.0	0.5901254930517374	0.0	-0.08014738296082419	0.33316509429733104
study	bacteria	d	p	1	kb03-1a	a01	atp6v1a	l-017590-01	control	2	188	0.0	0.0	0.1341559882217028	0.0	-0.29861184619231024	1.0144983469524997
study	bacteria	d	p	1	kb03-1a	a01	atp6v1a	l-017590-01	control	1	25	0.0	0.0	0.9508257130742455	0.0	-0.20078860093307982	0.2478482057661564
study	bacteria	d	p	1	kb03-1a	a01	atp6v1a	l-017590-01	control	2	161	0.0	0.0	0.6859350286897951	0.0	-0.3602185150389032	-0.21452118551070867
study	bacteria	d	p	1	kb03-1a	a01	atp6v1a	l-017590-01	control	2	172	0.0	0.0	0.2468355629385113	0.0	-0.33740643369327133	0.631201171612769
study	bacteria	d	p	1	kb03-1a	a01	atp6v1a	l-017590-01	control	6	4	0.0	0.0	-0.9946269973363047	0.0	-0.33072691542676963	-0.10767629310801925
study	bacteria	d	p	1	kb03-1a	a02	on-targetplus non-targeting pool	d-001810-10	control	8	31	0.0	0.0	0.6748689624820607	0.0	-0.24435047646897926	0.6423094214207755
study	bacteria	d	p	1	kb03-1a	a02	on-targetplus non-targeting pool	d-001810-10	control	7	199	0.0	0.0	-0.6772639038544207	0.0	-0.329640532466653	0.6205239145798727
study	bacteria	d	p	1	kb03-1a	a02	on-targetplus non-targeting pool	d-001810-10	control	12	62	0.0	0.0	0.4375404293375186	0.0	-0.36593340567499266	-0.42315718118248596
study	bacteria	d	p	1	kb03-1a	a02	on-targetplus non-targeting pool	d-001810-10	control	12	102	0.0	0.0	1.7630779081285446	0.0	-0.38425475976210893	-0.45786385400182705
study	bacteria	d	p	1	kb03-1a	a02	on-targetplus non-targeting pool	d-001810-10	control	7	109	0.0	0.0	-0.48241048504574835	0.0	-0.3751274559112594	-0.6624327914732717
study	bacteria	d	p	1	kb03-1a	a02	on-targetplus non-targeting pool	d-001810-10	control	11	185	0.0	0.0	0.37929251424555255	0.0	-0.31008483254833746	-0.6522308998151666
study	bacteria	d	p	1	kb03-1a	a02	on-targetplus non-targeting pool	d-001810-10	control	10	90	0.0	0.0	-0.10929557730522896	0.0	-0.4276832550403451	-0.2845957444916946
study	bacteria	d	p	1	kb03-1a	a02	on-targetplus non-targeting pool	d-001810-10	control	10	98	0.0	0.0	-1.0922248180236775	0.0	-0.39332075157895485	-1.222890269391008
study	bacteria	d	p	1	kb03-1a	a02	on-targetplus non-targeting pool	d-001810-10	control	8	124	0.0	0.0	2.936675422731926	0.0	-0.2818658613181494	1.0341794154325514
study	bacteria	d	p	1	kb03-1a	a02	on-targetplus non-targeting pool	d-001810-10	control	8	61	0.0	0.0	0.23559610518705076	0.0	0.6447300979474684	1.3823503071122234
study	bacteria	d	p	1	kb03-1a	a03	mock	none	control	18	38	0.0	0.0	-0.3539337322467712	0.0	-0.1093102222441857	0.07140534415402564
study	bacteria	d	p	1	kb03-1a	a03	mock	none	control	18	1	0.0	0.0	0.3792320377597646	0.0	-0.23259266186230496	0.14812406207987777
study	bacteria	d	p	1	kb03-1a	a03	mock	none	control	18	10	0.0	0.0	-0.5292734035720158	0.0	-0.2639289302505069	-0.641986845901517
study	bacteria	d	p	1	kb03-1a	a03	mock	none	control	15	140	0.0	0.0	1.4286097974680951	0.0	0.3103476174284983	0.7594943650296293
study	bacteria	d	p	1	kb03-1a	a03	mock	none	control	13	222	0.0	0.0	0.3289929185155599	0.0	-0.30163452173503646	-0.7263521658435268
study	bacteria	d	p	1	kb03-1a	a03	mock	none	control	17	105	0.0	0.0	0.035821635122428135	0.0	-0.37236165938822274	0.903165011780015
study	bacteria	d	p	1	kb03-1a	a03	mock	none	control	16	7	0.0	0.0	0.42386677719545557	0.0	4.52467167910023	0.0007175399460571176
study	bacteria	d	p	1	kb03-1a	a03	mock	none	control	16	127	0.0	0.0	-0.43566467155437044	0.0	-0.2978614210115228	-0.9967252435490092
study	bacteria	d	p	1	kb03-1a	a03	mock	none	control	15	60	0.0	0.0	0.9301011089818284	0.0	2.9310171192434638	2.6621993194515654
study	bacteria	d	p	1	kb03-1a	a03	mock	none	control	14	37	0.0	0.0	0.006499646127233894	0.0	-0.27781282295853577	0.14977229785573648
study	bacteria	d	p	1	kb03-1a	a04	mock	none	control	22	64	0.0	0.0	0.040591741641640824	0.0	-0.06974817493243246	1.9461774138216537
study	bacteria	d	p	1	kb03-1a	a04	mock	none	control	19	32	0.0	0.0	0.03261770355569597	0.0	-0.33201005458033417	-0.30320763220389363
study	bacteria	d	p	1	kb03-1a	a04	mock	none	control	20	213	0.0	0.0	1.0926932268230642	0.0	-0.2635035928030462	1.7965644674698769
study	bacteria	d	p	1	kb03-1a	a04	mock	none	control	21	111	0.0	0.0	-0.03883168886994399	0.0	-0.3644606814628061	-0.6408958229289247
study	bacteria	d	p	1	kb03-1a	a04	mock	none	control	22	142	0.0	0.0	0.44362248164167994	0.0	-0.4014190577251789	1.1057464608745626
study	bacteria	d	p	1	kb03-1a	a04	mock	none	control	21	97	0.0	0.0	-0.5194803073069756	0.0	-0.11771943621194664	-0.7412382861669922
study	bacteria	d	p	1	kb03-1a	a04	mock	none	control	21	133	0.0	0.0	0.5255650927134485	0.0	0.18555235369664685	0.07123105998966521
study	bacteria	d	p	1	kb03-1a	a04	mock	none	control	24	90	0.0	0.0	-0.7182356255187962	0.0	-0.3649974651798835	0.09602530371126812
study	bacteria	d	p	1	kb03-1a	a04	mock	none	control	20	86	0.0	0.0	0.7899822555274257	0.0	-0.3127321269761509	-0.42884307203285194
study	bacteria	d	p	1	kb03-1a	a04	mock	none	control	22	128	0.0	0.0	-0.7892083003991793	0.0	-0.45814538309180713	-0.9338479077639626
study	bacteria	d	p	1	kb03-1a	a05	mock	none	control	26	27	0.0	0.0	0.8755801810823017	0.0	-0.2832729609579025	1.5001189659551886
study	bacteria	d	p	1	kb03-1a	a05	mock	none	control	25	137	0.0	0.0	0.5413626437756593	0.0	-0.3357334162162352	0.2954375008271215
study	bacteria	d	p	1	kb03-1a	a05	mock	none	control	29	154	0.0	0.0	-0.8070623872469	0.0	-0.050552278238782285	0.9030960516204907
study	bacteria	d	p	1	kb03-1a	a05	mock	none	control	28	110	0.0	0.0	-0.7045432963789723	0.0	-0.33451189581211105	-0.024852619014223275
study	bacteria	d	p	1	kb03-1a	a05	mock	none	control	30	170	0.0	0.0	-0.16725767978544284	0.0	-0.259592266825483	0.21388290841817098
study	bacteria	d	p	1	kb03-1a	a05	mock	none	control	30	19	0.0	0.0	0.4015784673697759	0.0	0.09535697526131232	-0.22107227177607716
