study	pathogen	library	design	replicate	plate	well	gene	sirna	well_type	image_idx	object_idx	cells.children_bacteria_count	cells.children_invasomes_count	cells.intensity_maxintensityedge_corr1actin	cells.parent_nuclei	nuclei.intensity_uppertenpercentintensity_corr1pathogen	perinuclei.intensity_upperquartileintensity_corr1actin
study	bacteria	d	p	1	kb03-1a	a01	atp6v1a	l-017590-01	control	5	14	0.0	0.0	0.162893138694	0.0	0.014512226820799999	0.100029170459
study	bacteria	d	p	1	kb03-1a	a01	atp6v1a	l-017590-01	control	2	142	0.0	0.0	0.146423608827	0.0	0.04696669301419999	0.0757326392522
study	bacteria	d	p	1	kb03-1a	a01	atp6v1a	l-017590-01	control	2	195	0.0	0.0	0.152364205466	0.0	0.012939198415700001	0.07884838452769999
study	bacteria	d	p	1	kb03-1a	a01	atp6v1a	l-017590-01	control	2	96	0.0	0.0	0.6206862997	0.0	0.0118127410678	0.21281685152899998
study	bacteria	d	p	1	kb03-1a	a01	atp6v1a	l-017590-01	control	3	38	0.0	0.0	0.18061618167800003	0.0	0.018077946390200002	0.0689017166506
study	bacteria	d	p	1	kb03-1a	a01	atp6v1a	l-017590-01	control	2	188	0.0	0.0	0.147826729369	0.0	0.012485316570600001	0.08783937087919999
study	bacteria	d	p	1	kb03-1a	a01	atp6v1a	l-017590-01	control	1	25	0.0	0.0	0.206554676549	0.0	0.014989564586	0.0665303341758
study	bacteria	d	p	1	kb03-1a	a01	atp6v1a	l-017590-01	control	2	161	0.0	0.0	0.187505989366	0.0	0.010908202891899999	0.0536787793401
study	bacteria	d	p	1	kb03-1a	a01	atp6v1a	l-017590-01	control	2	172	0.0	0.0	0.155929686918	0.0	0.011492185863299998	0.0771856278759
study	bacteria	d	p	1	kb03-1a	a01	atp6v1a	l-017590-01	control	6	4	0.0	0.0	0.0666542485775	0.0	0.011663179683000001	0.056648532571
study	bacteria	d	p	1	kb03-1a	a02	on-targetplus non-targeting pool	d-001810-10	control	8	31	0.0	0.0	0.186710211915	0.0	0.0138743926239	0.0774943816218
study	bacteria	d	p	1	kb03-1a	a02	on-targetplus non-targeting pool	d-001810-10	control	7	199	0.0	0.0	0.0894763055532	0.0	0.011690990786200001	0.07688885357200001
study	bacteria	d	p	1	kb03-1a	a02	on-targetplus non-targeting pool	d-001810-10	control	12	62	0.0	0.0	0.16964356044599999	0.0	0.0107619032726	0.047879742921
study	bacteria	d	p	1	kb03-1a	a02	on-targetplus non-targeting pool	d-001810-10	control	12	102	0.0	0.0	0.264964952523	0.0	0.010292881676700002	0.04691507112980001
study	bacteria	d	p	1	kb03-1a	a02	on-targetplus non-targeting pool	d-001810-10	control	7	109	0.0	0.0	0.103488507719	0.0	0.0105265381302	0.0412290785723
study	bacteria	d	p	1	kb03-1a	a02	on-targetplus non-targeting pool	d-001810-10	control	11	185	0.0	0.0	0.165454865339	0.0	0.0121916112939	0.0415126400981
study	bacteria	d	p	1	kb03-1a	a02	on-targetplus non-targeting pool	d-001810-10	control	10	90	0.0	0.0	0.130319761441	0.0	0.00918112421223	0.0517310573362
study	bacteria	d	p	1	kb03-1a	a02	on-targetplus non-targeting pool	d-001810-10	control	10	98	0.0	0.0	0.05963584262490001	0.0	0.010060794794299999	0.0256511658765
study	bacteria	d	p	1	kb03-1a	a02	on-targetplus non-targeting pool	d-001810-10	control	8	124	0.0	0.0	0.34936011344400003	0.0	0.0129140091505	0.0883864060757
study	bacteria	d	p	1	kb03-1a	a02	on-targetplus non-targeting pool	d-001810-10	control	8	61	0.0	0.0	0.155121440621	0.0	0.0366346093612	0.0980638142066
study	bacteria	d	p	1	kb03-1a	a03	mock	none	control	18	38	0.0	0.0	0.11272746408399999	0.0	0.0173313857726	0.06162610575119999
study	bacteria	d	p	1	kb03-1a	a03	mock	none	control	18	1	0.0	0.0	0.165450516384	0.0	0.014175389424999999	0.0637585021186
study	bacteria	d	p	1	kb03-1a	a03	mock	none	control	18	10	0.0	0.0	0.10011852482400001	0.0	0.013373189623499999	0.0417973735236
study	bacteria	d	p	1	kb03-1a	a03	mock	none	control	15	140	0.0	0.0	0.240912848057	0.0	0.0280745103682	0.0807515365225
study	bacteria	d	p	1	kb03-1a	a03	mock	none	control	13	222	0.0	0.0	0.161837745821	0.0	0.0124079369129	0.039452439892699996
study	bacteria	d	p	1	kb03-1a	a03	mock	none	control	17	105	0.0	0.0	0.140755358264	0.0	0.010597341756	0.0847448614048
study	bacteria	d	p	1	kb03-1a	a03	mock	none	control	16	7	0.0	0.0	0.168660267573	0.0	0.135960040437	0.0596613385993
study	bacteria	d	p	1	kb03-1a	a03	mock	none	control	16	127	0.0	0.0	0.106850069416	0.0	0.012504527247600001	0.0319374215983
study	bacteria	d	p	1	kb03-1a	a03	mock	none	control	15	60	0.0	0.0	0.20506433912500002	0.0	0.0951629245957	0.133637210876
study	bacteria	d	p	1	kb03-1a	a03	mock	none	control	14	37	0.0	0.0	0.138646769971	0.0	0.013017765811299998	0.0638043148234
study	bacteria	d	p	1	kb03-1a	a04	mock	none	control	22	64	0.0	0.0	0.14109838379200002	0.0	0.0183441632388	0.113735385717
study	bacteria	d	p	1	kb03-1a	a04	mock	none	control	19	32	0.0	0.0	0.14052495873	0.0	0.0116303316756	0.051213740013600004
study	bacteria	d	p	1	kb03-1a	a04	mock	none	control	20	213	0.0	0.0	0.216756582657	0.0	0.0133840781445	0.109576894648
study	bacteria	d	p	1	kb03-1a	a04	mock	none	control	21	111	0.0	0.0	0.135386925549	0.0	0.010799604605	0.0418276985014
study	bacteria	d	p	1	kb03-1a	a04	mock	none	control	22	142	0.0	0.0	0.170080929968	0.0	0.0098534803974	0.0903756117331
study	bacteria	d	p	1	kb03-1a	a04	mock	none	control	21	97	0.0	0.0	0.10082276109300001	0.0	0.0171161122215	0.0390386802555
study	bacteria	d	p	1	kb03-1a	a04	mock	none	control	21	133	0.0	0.0	0.17597354627099998	0.0	0.0248797861418	0.0616212615237
study	bacteria	d	p	1	kb03-1a	a04	mock	none	control	24	90	0.0	0.0	0.0865299674773	0.0	0.0107858630904	0.0623104173995
study	bacteria	d	p	1	kb03-1a	a04	mock	none	control	20	86	0.0	0.0	0.194988181806	0.0	0.012123841288999999	0.047721703614300004
study	bacteria	d	p	1	kb03-1a	a04	mock	none	control	22	128	0.0	0.0	0.08142621577110001	0.0	0.008401302161579999	0.033685096820799995
study	bacteria	d	p	1	kb03-1a	a05	mock	none	control	26	27	0.0	0.0	0.201143657267	0.0	0.012877987789	0.101337193469
study	bacteria	d	p	1	kb03-1a	a05	mock	none	control	25	137	0.0	0.0	0.177109571907	0.0	0.0115350146478	0.0678530783855
study	bacteria	d	p	1	kb03-1a	a05	mock	none	control	29	154	0.0	0.0	0.0801423015553	0.0	0.0188355728835	0.0847429446575
study	bacteria	d	p	1	kb03-1a	a05	mock	none	control	28	110	0.0	0.0	0.0875146034421	0.0	0.011566285232200001	0.058950616163499996
study	bacteria	d	p	1	kb03-1a	a05	mock	none	control	30	170	0.0	0.0	0.126151619548	0.0	0.0134842070075	0.0655862689119
study	bacteria	d	p	1	kb03-1a	a05	mock	none	control	30	19	0.0	0.0	0.167057481719	0.0	0.0225708094067	0.05349669193130001
study	bacteria	d	p	1	kb03-1a	a05	mock	none	control	30	55	0.0	0.0	0.09479148622510002	0.0	0.010694445733499999	0.0755006468093
study	bacteria	d	p	1	kb03-1a	a05	mock	none	control	26	15	0.0	0.0	0.07862625736260001	0.0	0.013395129766899999	0.053198052354499994
study	bacteria	d	p	1	kb03-1a	a05	mock	none	control	30	66	0.0	0.0	0.157613697594	0.0	0.0119211814516	0.06853569629259999
study	bacteria	d	p	1	kb03-1a	a05	mock	none	control	29	1	0.0	0.0	0.116617209396	0.0	0.0304328063659	0.0438805316232
